feature	n_pairs	statistic	p_value	p_adjust_bh	significant
Hs.156918_at	25	-0.076210180548767006	0.71729989335367217	0.87989429699160981	false
Hs.156967_at	25	0.15628889818122776	0.45564304971161618	0.73230431548672104	false
Hs.156977_at	25	-0.085107815841262646	0.68585365895858086	0.86309915450115515	false
Hs.156979_at	25	0.63830861880946987	0.00059597610376662801	0.18419519632302347	false
Hs.157002_at	25	-0.11953779588613708	0.56926337472667266	0.79957330169213703	false
Hs.157031_at	25	-0.49439903929606216	0.011997776548348688	0.25329059911797752	false
Hs.157035_at	25	-0.17950012068339033	0.39058525136685524	0.68439344490245702	false
Hs.157078_at	25	-0.12224577184472271	0.56048142584640848	0.79485664948211787	false
Hs.1570_at	25	0.33308104290603252	0.10373958224627283	0.42008462943897129	false
Hs.157101_at	25	0.17253675393274157	0.40952519733095116	0.69921229584263178	false
Hs.157102_at	25	0.20155078206044472	0.3339819541087144	0.64319958682404399	false
Hs.157106_at	25	-0.50252296717181899	0.010464912138710545	0.24516224155063199	false
Hs.157113_at	25	-0.27002388844182423	0.1917548389709324	0.52307906277437632	false
Hs.157160_at	25	0.0065765130422793857	0.97511057761503195	0.99115507628478106	false
Hs.157195_at	25	0.064991423006055121	0.7575901143019278	0.89851941900046095	false
Hs.157231_at	25	0.03404312633650506	0.87166209728141031	0.94930078259391792	false
Hs.157234_at	25	0.29865106286115806	0.14701870455572622	0.47144138817526193	false
Hs.15725_at	25	0.13888048130460587	0.50792527859761982	0.76518464908864803	false
Hs.157302_at	25	-0.28897972015192364	0.16120612584136604	0.48956820277070123	false
Hs.157351_at	25	-0.45610052216749392	0.021931572434176278	0.28140262855807591	false
Hs.157378_at	25	-0.26770276619160799	0.1957508326155985	0.52774130071483427	false
Hs.15738_at	25	-0.17408416876621907	0.40527290825316031	0.69597674955082545	false
Hs.157394_at	25	0.030174589252811305	0.88614722307587857	0.95497465366046241	false
Hs.1573_at	25	0.31025667411223934	0.13119784980170385	0.4544615649532105	false
Hs.157401_at	25	-0.083173547299415757	0.69264885053152847	0.86605910021308441	false
Hs.157429_at	25	0.39923302703719576	0.048035157662871628	0.33532748970704929	false
Hs.15744_at	25	0.26151310685769796	0.20668395460496244	0.53841880843438839	false
Hs.157461_at	25	0.050290982088018833	0.81131331660226147	0.92235206440677253	false
Hs.157527_at	25	0.25145491044009416	0.22531835052582805	0.55505724214810426	false
Hs.157606_at	25	-0.45145827766706148	0.023492750808023554	0.28362234394028196	false
Hs.157688_at	25	0.020116392835207535	0.92396384570048407	0.97081966349846238	false
Hs.157697_at	25	0.33849699482320367	0.097901924829517914	0.41163915074392277	false
Hs.157714_at	25	0.34391294674037498	0.092312642461552727	0.40626061435786803	false
Hs.157791_at	25	0.021663807668685038	0.91813341976911378	0.96793555286202981	false
Hs.157818_at	25	0.3814377564522044	0.059918621095291835	0.35580779524701989	false
Hs.157859_at	25	0.36325563215884382	0.074288659262623	0.38067723634907658	false
Hs.157872_at	25	-0.083947254716154524	0.68992796897172237	0.86486537419113829	false
Hs.157883_at	25	-0.26228681427443673	0.20529517490572013	0.53682094641601241	false
Hs.158029_at	25	0.1001951104676683	0.63369706796798453	0.83729753429372988	false
Hs.158173_at	25	0.077757595382244513	0.71179707798356906	0.87721747803548689	false
Hs.158174_at	25	-0.18839775597588596	0.36712259002808761	0.66806129248562629	false
Hs.158195_at	25	-0.089750060341695165	0.66964244952763752	0.85562346204839168	false
Hs.158237_at	25	-0.029787735544441928	0.88759776673826696	0.9553071921734847	false
Hs.15825_at	25	-0.18955831710099405	0.36412397692468612	0.66677463377571355	false
Hs.15827_at	25	-0.032108857794658177	0.87889993226996288	0.95248159020749468	false
Hs.158287_at	25	0.3176068945712574	0.12183773860269562	0.44217937055790313	false
Hs.158297_at	25	0.64333771701827169	0.0005220733625584575	0.18419519632302347	false
Hs.158300_at	25	0.25880513089911233	0.21159472673870267	0.54234486515165758	false
Hs.158301_at	25	0.26073939944095925	0.20807908291467742	0.53974208626330467	false
Hs.158304_at	25	0.20851414881109351	0.31719173282582247	0.63020865115725266	false
Hs.158311_at	25	0.17563158359969655	0.40104535380895151	0.69310386230716359	false
Hs.158315_at	25	-0.34197867819852806	0.094280667936456716	0.40834594704867172	false
Hs.158316_at	25	0.075823326840397623	0.71867775131561284	0.88018625103175496	false
Hs.158317_at	25	0.30174589252811301	0.1426729741647311	0.46752020507050868	false
Hs.158320_at	25	0.19574797643490408	0.3483740739812734	0.6561262929945616	false
Hs.158322_at	25	0.085881523258001399	0.68314217046387515	0.86184776652024764	false
Hs.158331_at	25	0.32070172423821242	0.11804597385932693	0.43816029158323283	false
Hs.158336_at	25	0.19149258564284097	0.35915815676084889	0.66318571813552496	false
Hs.158339_at	25	0.12224577184472271	0.56048142584640848	0.79485664948211787	false
Hs.158341_at	25	-0.10909274576016395	0.60369677967679047	0.81977817014345089	false
Hs.158348_at	25	0.21663807668685039	0.29826903653511194	0.61595838783331025	false
Hs.158353_at	25	0.13965418872134464	0.50554105075629963	0.76377061299076132	false
Hs.158357_at	25	-0.25841827719074295	0.21230263229393234	0.54325770437997445	false
Hs.158427_at	25	0.13385138309580399	0.52355576218659861	0.77426554488953603	false
Hs.158438_at	25	0.14777811659710152	0.48084294474767825	0.74876939437672663	false
Hs.158460_at	25	0.32689138357212238	0.11072266892499649	0.42848273697256573	false
Hs.158497_at	25	0.21857234522869726	0.29386964865503723	0.61292550758852926	false
Hs.1584_at	25	0.39961988074556509	0.047799081178088024	0.33472694552231363	false
Hs.158529_at	25	0.12031150330287584	0.56674800167977701	0.79816215135556146	false
Hs.158560_at	25	-0.029787735544441928	0.88759776673826696	0.9553071921734847	false
Hs.158564_at	25	0.035977394878351943	0.86443427554521979	0.94579002452977534	false
Hs.158665_at	25	0.046035591295955705	0.82703240602793215	0.92953757016306293	false
Hs.158680_at	25	0.1570626055979665	0.45338711352945449	0.73037415376160297	false
Hs.158688_at	25	-0.24642581223129231	0.23504239445097075	0.56386021667966779	false
Hs.158722_at	25	0.020503246543576912	0.92250587027377484	0.97025252016798047	false
Hs.158728_at	25	0.086655230674740152	0.68043449098760989	0.86021555793452831	false
Hs.158748_at	25	0.24294412885596792	0.24193438510585749	0.56979113454569974	false
