repository	dataset_accession	relative_path	file_name	size_bytes	manifest_recorded	artifact_type	fetch_status	source	sha256	candidate_type	parser_support	suggested_parser	classification_reason
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_user_role_type.txt	lk_user_role_type.txt	528	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_virus_strain.txt	lk_virus_strain.txt	11747	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_visibility_category.txt	lk_visibility_category.txt	494	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/neut_ab_titer_result.txt	neut_ab_titer_result.txt	10792	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/personnel.txt	personnel.txt	172	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/planned_visit.txt	planned_visit.txt	403	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/program.txt	program.txt	1238	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/program_2_personnel.txt	program_2_personnel.txt	42	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/protocol.txt	protocol.txt	405	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/reagent.txt	reagent.txt	447	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/study.txt	study.txt	2028	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
