FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
217914	3	SSC	SSC-A	SSC	SSC-A
217915	2		FSC-H		FSC-H
217915	3	SSC	SSC-A	SSC	SSC-A
217916	12		APC-H7-A	hFCGR3A	CD16
217916	13		Pacific Blue-A	hCD86	CD86
217917	7		ECD-A	hCD2	CD2
217918	11		Alexa Fluor 700-A	hCD3E	CD3
217918	15		Time		Time
217919	5		FITC-A	hIGHD	IgD
217919	9		PE-Cy7-A	hCD38	CD38
217919	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217919	14		Pacific Orange-A		VIVID
217919	15		Time		Time
217921	2		FSC-H		FSC-H
217921	15		Time		Time
217922	12		APC-H7-A	hCD4	CD4
217923	3	SSC	SSC-A	SSC	SSC-A
217923	15		Time		Time
217924	9		PE-Cy7-A	hCCR7	CCR7
217925	14		Pacific Orange-A		VIVID
217926	7		ECD-A	hPTPRC/iso:h6	CD45RA
217926	9		PE-Cy7-A	hICOS	ICOS
217927	4	SSC	SSC-H	SSC	SSC-H
217930	6		PE-A	hCCR6	CCR6
217930	10		APC-A	hCD8A	CD8
217930	12		APC-H7-A	hCD4	CD4
217928	7		ECD-A	hCD2	CD2
217928	13		Pacific Blue-A	hCD86	CD86
217929	3	SSC	SSC-A	SSC	SSC-A
217929	7		ECD-A	hCD2	CD2
217929	9		PE-Cy7-A	hCD1C	CD1c
217929	12		APC-H7-A	hITGAX	CD11c
217932	2		FSC-H		FSC-H
217932	10		APC-A	hSECISBP2L	SLAN
217933	3	SSC	SSC-A	SSC	SSC-A
217934	10		APC-A	hCD8A	CD8
217934	11		Alexa Fluor 700-A	hCD3E	CD3
217934	15		Time		Time
217935	13		Pacific Blue-A	hCD86	CD86
217935	15		Time		Time
217936	10		APC-A	hSECISBP2L	SLAN
217937	2		FSC-H		FSC-H
217937	8		PE-Cy5-A	hCD40	CD40
217937	14		Pacific Orange-A		VIVID
217938	6		PE-A	hCCR6	CCR6
217938	7		ECD-A	hPTPRC/iso:h6	CD45RA
217938	11		Alexa Fluor 700-A	hCD3E	CD3
217939	13		Pacific Blue-A	hCD86	CD86
217940	8		PE-Cy5-A	hCD40	CD40
217940	9		PE-Cy7-A	hCCR7	CCR7
217940	15		Time		Time
217941	9		PE-Cy7-A	hCD1C	CD1c
217941	10		APC-A	hTHBD	BDCA-3
217941	14		Pacific Orange-A		VIVID
217942	6		PE-A	hCCR6	CCR6
217942	8		PE-Cy5-A	hCXCR3	CXCR3
217942	9		PE-Cy7-A	hICOS	ICOS
217943	5		FITC-A	hIGHD	IgD
217943	7		ECD-A	hCD19	CD19
217943	15		Time		Time
217945	4	SSC	SSC-H	SSC	SSC-H
217945	7		ECD-A	hCD2	CD2
217945	8		PE-Cy5-A	hCD40	CD40
217945	10		APC-A	hTHBD	BDCA-3
217947	5		FITC-A	hIGHD	IgD
217948	4	SSC	SSC-H	SSC	SSC-H
217948	6		PE-A	hCD14	CD14
217949	1		FSC-A		FSC-A
217949	5		FITC-A		LIN-1
217949	7		ECD-A	hCD2	CD2
217950	7		ECD-A	hPTPRC/iso:h6	CD45RA
217950	9		PE-Cy7-A	hICOS	ICOS
217951	9		PE-Cy7-A	hCD38	CD38
217951	7		ECD-A	hCD19	CD19
217952	9		PE-Cy7-A	hCCR7	CCR7
217953	5		FITC-A		LIN-1
217953	12		APC-H7-A	hITGAX	CD11c
217954	7		ECD-A	hPTPRC/iso:h6	CD45RA
217954	10		APC-A	hCD8A	CD8
217954	11		Alexa Fluor 700-A	hCD3E	CD3
217955	1		FSC-A		FSC-A
217955	5		FITC-A	hIGHD	IgD
217955	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217955	12		APC-H7-A	hCD27	CD27
217955	13		Pacific Blue-A	hCD86	CD86
217956	13		Pacific Blue-A	hCD86	CD86
217956	15		Time		Time
217958	6		PE-A	hCCR6	CCR6
217575	1		FSC-A		FSC-A
217576	3	SSC	SSC-A	SSC	SSC-A
